license,license_count
mit,1696489
apache-2.0,495134
gpl-2.0,341505
gpl-3.0,340407
bsd-3-clause,150701
bsd-2-clause,55221
unlicense,46414
agpl-3.0,41179
lgpl-3.0,39839
cc0-1.0,26807
epl-1.0,24199
lgpl-2.1,22637
mpl-2.0,18832
isc,17735
artistic-2.0,8535
